mapsName,mapsAddress,mapsSite,mapsPhone,firstMatch
Centre Hospitalier Intercommunal Créteil,"40 Av. de Verdun, 94000 Créteil",chicreteil.fr,01 57 02 20 00,True
Résidence de l'Abbaye,"10A Quai Beaubourg, 94100 Saint-Maur-des-Fossés",abcd94.fr,01 55 12 17 20,True
"Centre Hospitalier Intercommunal Villeneuve Saint Georges, Service des Urgences","40 All. de la Source, 94190 Villeneuve-Saint-Georges",chiv.fr,01 43 86 22 00,False
C.c.a.s (lodgement),"1 Pl. Salvador Allende, 94000 Créteil",NA,NA,True
Centre Hospitalier Les Murets,"17 Rue du Général Leclerc, 94510 La Queue-en-Brie",ch-les-murets.com,01 45 93 71 71,True
MAPA Joseph Franceschi - Le Grand Âge,"67 Rue Louis Blanc, 94140 Alfortville",alfortville.fr,01 45 18 87 00,True
Fondation Favier Val de Marne,"1 Rue du 136EME de Ligne, 94360 Bry-sur-Marne",fondation-favier.fr,01 49 83 47 00,True
Résidence Pierre Tabanou,"32 Ave du Gal de Gaulle, 94240 L'Haÿ-les-Roses",etablissements.fhf.fr,01 46 63 14 91,True
Centre Hospitalier de Gonesse,"2 Bd du 19 Mars 1962, 95500 Gonesse",hopital-de-gonesse.fr,01 34 53 21 21,False
EHPAD de Louvres,"3 Rue Demaison, 95380 Louvres",proximite.mgen.fr,01 34 47 19 00,True
EPS Roger Prévot,"52 Rue de Paris, 95570 Moisselles",eps-rogerprevot.fr,01 39 35 63 00,True
Hôpital Le Parc,"21 Rue de la Tuyolle, 95150 Taverny",NA,NA,True
Hôpital NOVO (Nord-Ouest Val-d'Oise) - site de Pontoise,"6 Av. de l'Île de France, 95300 Pontoise",ght-novo.fr,01 30 75 40 40,False
Centre Communal d'Action Sociale d'Argenteuil,"12-14 Bd Léon Feix, 95100 Argenteuil",NA,01 34 23 41 00,True
Groupe Scolaire Gabriel Péri,"6 Rue Camélinat, 95870 Bezons",NA,01 30 76 46 98,False
Mairie de Sarcelles Village,"3 Rue de la Résistance, 95200 Sarcelles",sarcelles.fr,01 34 38 21 40,False
Centre Communal D'action Sociale,"Av. Damiette, 95110 Sannois",NA,NA,False
Centre Hospitalier d'Argenteuil,"69 Rue du Lieutenant Colonel Prudhon, 95107 Argenteuil",ch-argenteuil.com,01 34 23 24 25,True
Mairie de Sarcelles Village,"3 Rue de la Résistance, 95200 Sarcelles",sarcelles.fr,01 34 38 21 40,False
Belle Alliance - ESRP & SAMSAH,"8 Rue Albert Molinier, 95410 Groslay",bellealliance.fr,01 39 34 30 00,True
Hôpital Simone Veil,"14 Rue de Saint-Prix, 95600 Eaubonne",hopital-simoneveil.fr,01 34 06 60 00,False
Val du Loing Habitat,"31 Av. John Fitzgerald Kennedy, 77140 Nemours",valduloinghabitat.fr,01 64 45 52 20,True
Hauts-de-Seine Habitat OPH,"45 Rue Paul Vaillant Couturier, 92300 Levallois-Perret",hautsdeseinehabitat.fr,NA,True
Montrouge Habitat,"12 Rue Radiguey, 92120 Montrouge",NA,01 55 58 17 00,True
Office Public de l’Habitat,"7 Rue Chante Coq, 92800 Puteaux",puteaux.fr,01 46 92 90 90,False
Seine-Saint-Denis habitat,"10 Rue Gisèle Halimi, 93000 Bobigny",seinesaintdenishabitat.fr,01 48 96 52 00,True
SEM espaces verts,"36 Rue Paul Langevin, 78370 Plaisir",versailles.serpe.fr,01 30 55 09 11,True
