denominationUniteLegale,sigleUniteLegale,denominationUsuelle1UniteLegale,denominationUsuelle2UniteLegale,denominationUsuelle3UniteLegale,denominationUsuelleEtablissement,sigleUniteLegale2,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,trancheEffectifsEtablissement,activitePrincipaleUniteLegale sous-classe,activitePrincipaleUniteLegale classe,activitePrincipaleUniteLegale groupe,activitePrincipaleUniteLegale division,activitePrincipaleUniteLegale section,etablissementSiege,activitePrincipaleEtablissement sous-classe,activitePrincipaleEtablissement classe ,activitePrincipaleEtablissement groupe ,activitePrincipaleEtablissement division,activitePrincipaleEtablissement section,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement
ASS INT CTRE MED SOCIAUX REG ILE FRANCE,ACMS,,,,,ACMS,,,,200 à 249 salariés,Activité des médecins généralistes,Activité des médecins généralistes,Activité des médecins généralistes,Activités pour la santé humaine,Santé humaine et action sociale,False,Activité des médecins généralistes,Activité des médecins généralistes,Activité des médecins et des dentistes,Activités pour la santé humaine,Santé humaine et action sociale,,12,,PL,DE LA DEFENSE,92400,COURBEVOIE,,92026,0,,,0,,,,0,,,0,,
MAJ,,,,,,,ELIS BEZONS,,,200 à 249 salariés,Location et location-bail d'autres biens personnels et domestiques,Location et location-bail d'autres biens personnels et domestiques,Location et location-bail d'autres biens personnels et domestiques,Activités de location et location-bail,Activités de services administratifs et de soutien,False,Location et location-bail d'autres biens personnels et domestiques,Location et location-bail d'autres biens personnels et domestiques,Location et location-bail de biens personnels et domestiques,Activités de location et location-bail,Activités de services administratifs et de soutien,,14,,RUE,MARCEL PAUL,95870,BEZONS,,95063,0,,,0,,,,0,,,0,,
INSTITUT GUSTAVE ROUSSY,,,,,,,,,,200 à 249 salariés,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,False,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,,24,,RUE,ALBERT THURET,94550,CHEVILLY-LARUE,,94021,0,,,0,,,,0,,,0,,
PARENTS ENFANTS DEFICIENTS,APED ESPOIR,,,,,APED ESPOIR,ESAT L AVENIR,,,200 à 249 salariés,Hébergement social pour handicapés mentaux et malades mentaux,Hébergement social pour handicapés mentaux et malades mentaux,"Hébergement social pour personnes handicapées mentales, malades mentales et toxicomanes",Hébergement médico-social et social,Santé humaine et action sociale,False,Aide par le travail,Action sociale sans hébergement pour personnes âgées et pour personnes handicapées,Action sociale sans hébergement pour personnes âgées et pour personnes handicapées,Action sociale sans hébergement,Santé humaine et action sociale,,1,,IMP,DU PETIT MOULIN,95340,PERSAN,,95487,0,,,0,,,,0,,,0,,
FAYAT BATIMENT,,,,,FAYAT BATIMENT ILE DE FRANCE,,,,,200 à 249 salariés,Construction d'autres bâtiments,Construction d'autres bâtiments,Construction de bâtiments résidentiels et non résidentiels,Construction de bâtiments,Construction,False,Construction d'autres bâtiments,Construction de bâtiments résidentiels et non résidentiels,Construction de bâtiments résidentiels et non résidentiels,Construction de bâtiments,Construction,IMMEUBLE AXE SEINE,12,,RUE,ROUGET DE LISLE,92130,ISSY-LES-MOULINEAUX,,92040,0,,,0,,,,0,,,0,,
SHELL FRANCE,,,,,,,,,,200 à 249 salariés,Commerce de gros (commerce interentreprises) de combustibles et de produits annexes,Commerce de gros (commerce interentreprises) de combustibles et de produits annexes,Commerce de gros de combustibles et de produits annexes,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,True,Commerce de gros (commerce interentreprises) de combustibles et de produits annexes,Commerce de gros de combustibles et de produits annexes,Autres commerces de gros spécialisés,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,11-13-TOUR PACIFIC,11,,CRS,VALMY,92800,PUTEAUX,,92062,0,,,0,,,,0,,,0,,
FEDERATION FRANCAISE DE BASKET BALL,FFBB,,,,,FFBB,,,,200 à 249 salariés,Activités de clubs de sports,Activités de clubs de sports,Activités de clubs de sports,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",True,Activités de clubs de sports,Activités de clubs de sports,Activités liées au sport,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",,117,,RUE,DU CHATEAU DES RENTIERS,75013,PARIS 13,,75113,0,,,0,,,,0,,,0,,
SOC AUTEURS COMPOSITEURS DRAMATIQUES,SACD,,,,,SACD,,,,200 à 249 salariés,Autre création artistique,Autre création artistique,Création artistique,"Activités créatives, artistiques et de spectacle","Arts, spectacles et activités récréatives",True,Autre création artistique,Création artistique,"Activités créatives, artistiques et de spectacle","Activités créatives, artistiques et de spectacle","Arts, spectacles et activités récréatives",,11,B,RUE,BALLU,75009,PARIS 9,,75109,0,,,0,,,,0,,,0,,
ASAD,,,,,,,,,,200 à 249 salariés,Aide à domicile,Aide à domicile,Action sociale sans hébergement pour personnes âgées et pour personnes handicapées,Action sociale sans hébergement,Santé humaine et action sociale,True,Aide à domicile,Action sociale sans hébergement pour personnes âgées et pour personnes handicapées,Action sociale sans hébergement pour personnes âgées et pour personnes handicapées,Action sociale sans hébergement,Santé humaine et action sociale,,132,,RUE,DU FBG SAINT DENIS,75010,PARIS 10,,75110,0,,,0,,,,0,,,0,,
CITE INTERNATION UNIVERSITAIRE DE PARIS,CIUP,,,,,CIUP,,,,200 à 249 salariés,Autres hébergements,Autres hébergements,Autres hébergements,Hébergement,Hébergement et restauration,True,Autres hébergements,Autres hébergements,Autres hébergements,Hébergement,Hébergement et restauration,,17,,BD,JOURDAN,75014,PARIS 14,,75114,0,,,0,,,,0,,,0,,
FEDERATION APAJH,FEDERATION APAJH,,,,,FEDERATION APAJH,ATELIER PROTEGE APAJH,,,200 à 249 salariés,Aide par le travail,Aide par le travail,Action sociale sans hébergement pour personnes âgées et pour personnes handicapées,Action sociale sans hébergement,Santé humaine et action sociale,False,Aide par le travail,Action sociale sans hébergement pour personnes âgées et pour personnes handicapées,Action sociale sans hébergement pour personnes âgées et pour personnes handicapées,Action sociale sans hébergement,Santé humaine et action sociale,,50,,RUE,MARJOLIN,92300,LEVALLOIS-PERRET,,92044,0,,,0,,,,0,,,0,,
ASSOCIATION DES DAMES DU CALVAIRE,ADC,,,,,ADC,MAISON MEDICALE JEANNE GARNIER,,,200 à 249 salariés,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,True,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,,106,,AV,EMILE ZOLA,75015,PARIS 15,,75115,0,,,0,,,,0,,,0,,
LES TROIS SOLEILS,,,,,,,,,,200 à 249 salariés,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,True,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,,19,,RUE,DU CHATEAU,77310,BOISSISE-LE-ROI,,77040,0,,,0,,,,0,,,0,,
HOPITAL SUISSE DE PARIS,,,,,,,,,,200 à 249 salariés,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,True,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,,10,,RUE,MINARD,92130,ISSY-LES-MOULINEAUX,,92040,0,,,0,,,,0,,,0,,
POLYCLINIQUE D AUBERVILLIERS,,CENTRE DE SANTE,,,,,,,,200 à 249 salariés,Activité des médecins généralistes,Activité des médecins généralistes,Activité des médecins généralistes,Activités pour la santé humaine,Santé humaine et action sociale,True,Activité des médecins généralistes,Activité des médecins généralistes,Activité des médecins et des dentistes,Activités pour la santé humaine,Santé humaine et action sociale,,55,,RUE,HENRI BARBUSSE,93300,AUBERVILLIERS,,93001,93308,AUBERVILLIERS CEDEX,,0,,,,0,,,0,,
ETABLISSEMENTS REYNAUD,,,,,,,,,,200 à 249 salariés,"Commerce de gros (commerce interentreprises) de poissons, crustacés et mollusques","Commerce de gros (commerce interentreprises) de poissons, crustacés et mollusques","Commerce de gros d'autres produits alimentaires, y compris poissons, crustacés et mollusques","Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,True,"Commerce de gros (commerce interentreprises) de poissons, crustacés et mollusques","Commerce de gros d'autres produits alimentaires, y compris poissons, crustacés et mollusques","Commerce de gros de produits alimentaires, de boissons et de tabac","Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,PLA 357,1,,AV,DES SAVOIES,94150,RUNGIS,,94065,94599,RUNGIS CEDEX 2,,0,,,,0,,,0,,
CORA,,CORA,,,,,,,,200 à 249 salariés,Hypermarchés,Hypermarchés,Commerce de détail en magasin non spécialisé à prédominance alimentaire,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,False,Hypermarchés,Commerce de détail en magasin non spécialisé à prédominance alimentaire,Commerce de détail en magasin non spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,CENTRE COMMERCIAL FORUM 20,5,,RUE,BERTHOLLET,94110,ARCUEIL,,94003,0,,,0,,,,0,,,0,,
ADOMA,,,,,,,,,,200 à 249 salariés,Autres hébergements,Autres hébergements,Autres hébergements,Hébergement,Hébergement et restauration,True,Autres hébergements,Autres hébergements,Autres hébergements,Hébergement,Hébergement et restauration,,33,,AV,PIERRE MENDES FRANCE,75013,PARIS 13,,75113,0,,,0,,,,0,,,0,,
LA VIE AU GRAND AIR DE SAINT MAUR,,,,,,,,,,200 à 249 salariés,Activités de clubs de sports,Activités de clubs de sports,Activités de clubs de sports,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",True,Activités de clubs de sports,Activités de clubs de sports,Activités liées au sport,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",,8,,AV,DU NORD,94100,SAINT-MAUR-DES-FOSSES,,94068,0,,,0,,,,0,,,0,,
ALGOLIA,,,,,,,,,,200 à 249 salariés,"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels","Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels","Commerce de gros d'ordinateurs, d'équipements informatiques périphériques et de logiciels","Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,True,"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels","Commerce de gros d'ordinateurs, d'équipements informatiques périphériques et de logiciels",Commerce de gros d'équipements de l'information et de la communication,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,,55,,RUE,D'AMSTERDAM,75008,PARIS 8,,75108,0,,,0,,,,0,,,0,,
GEFCO FRANCE,,,,,,,,,,200 à 249 salariés,Affrètement et organisation des transports,Affrètement et organisation des transports,Autres services auxiliaires des transports,Entreposage et services auxiliaires des transports,Transports et entreposage,True,Transports routiers de fret de proximité,Transports routiers de fret,Transports routiers de fret et services de déménagement,Transports terrestres et transport par conduites,Transports et entreposage,BATIMENT C 3EME ETAGE C1 ET C2,15,,BD,CHARLES DE GAULLE,92700,COLOMBES,,92025,0,,,0,,,,0,,,0,,
BUREAU VERITAS EXPLOITATION,,,,,,,,,,200 à 249 salariés,"Analyses, essais et inspections techniques","Analyses, essais et inspections techniques",Activités de contrôle et analyses techniques,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",False,"Analyses, essais et inspections techniques",Activités de contrôle et analyses techniques,Activités de contrôle et analyses techniques,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",IMMEUBLE LE GAIA,333,,AV,GEORGES CLEMENCEAU,92000,NANTERRE,,92050,0,,,0,,,,0,,,0,,
DATAIKU,,,,,,,,,,200 à 249 salariés,Édition de logiciels applicatifs,Édition de logiciels applicatifs,Édition d'autres logiciels,Édition,Information et communication,True,Édition de logiciels applicatifs,Édition d'autres logiciels,Édition de logiciels,Édition,Information et communication,201-203,201,,RUE,DE BERCY,75012,PARIS 12,,75112,0,,,0,,,,0,,,0,,
EIFFAGE CONSTRUCTION ILE DE FRANCE,,,,,,,,,,200 à 249 salariés,Activités des sièges sociaux,Activités des sièges sociaux,Activités des sièges sociaux,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",True,Activités des sièges sociaux,Activités des sièges sociaux,Activités des sièges sociaux,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",,11,,PL,DE L EUROPE,78140,VELIZY-VILLACOUBLAY,,78640,0,,,0,,,,0,,,0,,
UNIQLO EUROPE LTD,,,,,,,,,,200 à 249 salariés,Commerce de détail d'habillement en magasin spécialisé,Commerce de détail d'habillement en magasin spécialisé,Commerce de détail d'habillement en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,False,Commerce de détail d'habillement en magasin spécialisé,Commerce de détail d'habillement en magasin spécialisé,Autres commerces de détail en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,15-17,15,,RUE,SCRIBE,75009,PARIS 9,,75109,0,,,0,,,,0,,,0,,
DCS EASYWARE,,,,,,,,,,200 à 249 salariés,Gestion d'installations informatiques,Gestion d'installations informatiques,Gestion d'installations informatiques,"Programmation, conseil et autres activités informatiques",Information et communication,False,Gestion d'installations informatiques,Gestion d'installations informatiques,"Programmation, conseil et autres activités informatiques","Programmation, conseil et autres activités informatiques",Information et communication,METROSUD,1,,BD,HIPPOLYTE MARQUES,94200,IVRY-SUR-SEINE,,94041,0,,,0,,,,0,,,0,,
BOLLORE TRANSPORT & LOGISTICS CORPORATE,BTL CORPORATE,,,,,BTL CORPORATE,,,,200 à 249 salariés,Autres activités de soutien aux entreprises n.c.a.,Autres activités de soutien aux entreprises n.c.a.,Autres activités de soutien aux entreprises n.c.a.,Activités administratives et autres activités de soutien aux entreprises,Activités de services administratifs et de soutien,True,Autres activités de soutien aux entreprises n.c.a.,Autres activités de soutien aux entreprises n.c.a.,Activités de soutien aux entreprises n.c.a.,Activités administratives et autres activités de soutien aux entreprises,Activités de services administratifs et de soutien,31-32,31,,QUAI,DE DION BOUTON,92800,PUTEAUX,,92062,0,,,0,,,,0,,,0,,
IGO SOLUTIONS,,,,,,,,,,200 à 249 salariés,Réparation et maintenance d'aéronefs et d'engins spatiaux,Réparation et maintenance d'aéronefs et d'engins spatiaux,Réparation et maintenance d'aéronefs et d'engins spatiaux,Réparation et installation de machines et d'équipements,Industrie manufacturière,False,Réparation et maintenance d'aéronefs et d'engins spatiaux,Réparation et maintenance d'aéronefs et d'engins spatiaux,"Réparation d'ouvrages en métaux, de machines et d'équipements",Réparation et installation de machines et d'équipements,Industrie manufacturière,,0,,AV,SUD,91550,PARAY-VIEILLE-POSTE,,91479,0,,,0,,,,0,,,0,,
METLIFE EUROPE DESIGNATED ACTIVITY COMPANY,MEL,,,,METLIFE,MEL,,,,200 à 249 salariés,Assurance vie,Assurance vie,Assurance vie,Assurance,Activités financières et d'assurance,False,Assurance vie,Assurance vie,Assurance,Assurance,Activités financières et d'assurance,,5,,PL,DE LA PYRAMIDE,92800,PUTEAUX,,92062,0,,,0,,,,0,,,0,,
ALLIANZ GLOBAL INVESTORS GMBH,,,,,"ALLIANZ GLOBAL INVESTORS, SUCCURSALE FRANCAISE ET ALLIANZ GLOBAL INVESTORS, FRANCE BRANCH",,,,,200 à 249 salariés,Gestion de fonds,Gestion de fonds,Gestion de fonds,Activités auxiliaires de services financiers et d'assurance,Activités financières et d'assurance,False,Gestion de fonds,Gestion de fonds,Gestion de fonds,Activités auxiliaires de services financiers et d'assurance,Activités financières et d'assurance,,3,,BD,DES ITALIENS,75002,PARIS 2,,75102,0,,,0,,,,0,,,0,,
ALLIANZ TECHNOLOGY,,,,,,,,,,200 à 249 salariés,Conseil en systèmes et logiciels informatiques,Conseil en systèmes et logiciels informatiques,Conseil informatique,"Programmation, conseil et autres activités informatiques",Information et communication,False,Conseil en systèmes et logiciels informatiques,Conseil informatique,"Programmation, conseil et autres activités informatiques","Programmation, conseil et autres activités informatiques",Information et communication,151-161,151,,BD,VICTOR HUGO,93400,SAINT-OUEN-SUR-SEINE,,93070,0,,,0,,,,0,,,0,,
OVE,,,,,,,,,,200 à 249 salariés,Hébergement médicalisé pour enfants handicapés,Hébergement médicalisé pour enfants handicapés,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,False,Hébergement médicalisé pour adultes handicapés et autre hébergement médicalisé,Hébergement médicalisé,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,,51,,RUE,RENE CLAIR,75018,PARIS 18,,75118,0,,,0,,,,0,,,0,,
OMS ENERGIE,,,,,,,,,,200 à 249 salariés,Réparation d'équipements électriques,Réparation d'équipements électriques,Réparation d'équipements électriques,Réparation et installation de machines et d'équipements,Industrie manufacturière,True,Réparation d'équipements électriques,Réparation d'équipements électriques,"Réparation d'ouvrages en métaux, de machines et d'équipements",Réparation et installation de machines et d'équipements,Industrie manufacturière,,38,,AV,DU FOND DE VAUX,95310,SAINT OUEN L'AUMONE,,95572,0,,,0,,,,0,,,0,,
GIE AG2R,,,,,,,AG2R REUNICA-PARIS-BRUNE,,,200 à 249 salariés,Autres activités de soutien aux entreprises n.c.a.,Autres activités de soutien aux entreprises n.c.a.,Autres activités de soutien aux entreprises n.c.a.,Activités administratives et autres activités de soutien aux entreprises,Activités de services administratifs et de soutien,False,Autres activités de soutien aux entreprises n.c.a.,Autres activités de soutien aux entreprises n.c.a.,Activités de soutien aux entreprises n.c.a.,Activités administratives et autres activités de soutien aux entreprises,Activités de services administratifs et de soutien,,35,,BD,BRUNE,75014,PARIS 14,,75114,0,,,0,,,,0,,,0,,
UPSA SAS,,,,,UPSA,,,,,200 à 249 salariés,Fabrication de préparations pharmaceutiques,Fabrication de préparations pharmaceutiques,Fabrication de préparations pharmaceutiques,Industrie pharmaceutique,Industrie manufacturière,True,Fabrication de préparations pharmaceutiques,Fabrication de préparations pharmaceutiques,Fabrication de préparations pharmaceutiques,Industrie pharmaceutique,Industrie manufacturière,,3,,RUE,JOSEPH MONIER,92500,RUEIL-MALMAISON,,92063,0,,,0,,,,0,,,0,,
WKDA FRANCE,,,,,VENDEZVOTREVOITURE.FR,,VENDEZVOTREVOITURE.FR,,,200 à 249 salariés,Commerce de voitures et de véhicules automobiles légers,Commerce de voitures et de véhicules automobiles légers,Commerce de voitures et de véhicules automobiles légers,Commerce et réparation d'automobiles et de motocycles,Commerce ; réparation d'automobiles et de motocycles,True,Commerce de voitures et de véhicules automobiles légers,Commerce de voitures et de véhicules automobiles légers,Commerce de véhicules automobiles,Commerce et réparation d'automobiles et de motocycles,Commerce ; réparation d'automobiles et de motocycles,,21,,BD,GAMBETTA,92130,ISSY-LES-MOULINEAUX,,92040,0,,,0,,,,0,,,0,,
AIRCALL,,,,,,,,,,200 à 249 salariés,Programmation informatique,Programmation informatique,Programmation informatique,"Programmation, conseil et autres activités informatiques",Information et communication,True,Programmation informatique,Programmation informatique,"Programmation, conseil et autres activités informatiques","Programmation, conseil et autres activités informatiques",Information et communication,Nov-15,11,,RUE,ST GEORGES,75009,PARIS 9,,75109,0,,,0,,,,0,,,0,,
POLE MEDICAL D ENNERY,,,,,,,INSTITUT MEDICAL D'ENNERY,,,200 à 249 salariés,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,False,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,INSTITUT MEDICAL D ENNERY,0,,RTE,DE LIVILLIERS,95300,ENNERY,,95211,0,,,0,,,,0,,,0,,
SOCIETE NOUVELLE PRADEAU MORIN,,,,,,,PRADEAU MORIN RENOVATION,,,200 à 249 salariés,Construction d'autres bâtiments,Construction d'autres bâtiments,Construction de bâtiments résidentiels et non résidentiels,Construction de bâtiments,Construction,False,Construction d'autres bâtiments,Construction de bâtiments résidentiels et non résidentiels,Construction de bâtiments résidentiels et non résidentiels,Construction de bâtiments,Construction,23-31,23,,RUE,DELARIVIERE LEFOULLON,92800,PUTEAUX,,92062,0,,,0,,,,0,,,0,,
KELI NETWORK FRANCE,,,,,JELLYSMACK FRANCE,,,,,200 à 249 salariés,Édition de revues et périodiques,Édition de revues et périodiques,Édition de revues et périodiques,Édition,Information et communication,True,Édition de revues et périodiques,Édition de revues et périodiques,Édition de livres et périodiques et autres activités d'édition,Édition,Information et communication,,100,,RUE,DE VILLIERS,92300,LEVALLOIS-PERRET,,92044,0,,,0,,,,0,,,0,,
CARTE NOIRE SAS,,,,,,,,,,200 à 249 salariés,"Commerce de gros (commerce interentreprises) de café, thé, cacao et épices","Commerce de gros (commerce interentreprises) de café, thé, cacao et épices","Commerce de gros de café, thé, cacao et épices","Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,True,"Commerce de gros (commerce interentreprises) de café, thé, cacao et épices","Commerce de gros de café, thé, cacao et épices","Commerce de gros de produits alimentaires, de boissons et de tabac","Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,,58,,AV,EMILE ZOLA,92100,BOULOGNE-BILLANCOURT,,92012,0,,,0,,,,0,,,0,,
STEF LOGISTIQUE DARVAULT,,,,,,,,,,200 à 249 salariés,Transports routiers de fret de proximité,Transports routiers de fret de proximité,Transports routiers de fret,Transports terrestres et transport par conduites,Transports et entreposage,True,Transports routiers de fret de proximité,Transports routiers de fret,Transports routiers de fret et services de déménagement,Transports terrestres et transport par conduites,Transports et entreposage,ZAC DE LA PIERRE LEVEE LD LES MOINES,0,,RTE,DE MONTEREAU,77140,DARVAULT,,77156,0,,,0,,,,0,,,0,,
ALAN,,,,,,,,,,200 à 249 salariés,Autres assurances,Autres assurances,Autres assurances,Assurance,Activités financières et d'assurance,True,Autres assurances,Autres assurances,Assurance,Assurance,Activités financières et d'assurance,,117,,QUAI,DE VALMY,75010,PARIS 10,,75110,0,,,0,,,,0,,,0,,
CLEVERSIDE,,,,,,,,,,200 à 249 salariés,Autres activités de soutien aux entreprises n.c.a.,Autres activités de soutien aux entreprises n.c.a.,Autres activités de soutien aux entreprises n.c.a.,Activités administratives et autres activités de soutien aux entreprises,Activités de services administratifs et de soutien,True,Autres activités de soutien aux entreprises n.c.a.,Autres activités de soutien aux entreprises n.c.a.,Activités de soutien aux entreprises n.c.a.,Activités administratives et autres activités de soutien aux entreprises,Activités de services administratifs et de soutien,,14,,RUE,DU GENERAL AUDRAN,92400,COURBEVOIE,,92026,0,,,0,,,,0,,,0,,
AREAS SERVICES,,,,,,,,,,200 à 249 salariés,Activités des sociétés holding,Activités des sociétés holding,Activités des sociétés holding,"Activités des services financiers, hors assurance et caisses de retraite",Activités financières et d'assurance,True,Activités des sociétés holding,Activités des sociétés holding,Activités des sociétés holding,"Activités des services financiers, hors assurance et caisses de retraite",Activités financières et d'assurance,09-Nov,9,,ALL,DE L ARCHE,92400,COURBEVOIE,,92026,92032,PARIS LA DEFENSE CEDEX,,0,,,,0,,,0,,
GSG TRANSPORT EXPRESS,,,,,,,,,,200 à 249 salariés,Transports routiers de fret interurbains,Transports routiers de fret interurbains,Transports routiers de fret,Transports terrestres et transport par conduites,Transports et entreposage,True,Transports routiers de fret interurbains,Transports routiers de fret,Transports routiers de fret et services de déménagement,Transports terrestres et transport par conduites,Transports et entreposage,08-Oct,8,,RUE,DES BLES,93210,SAINT-DENIS,,93066,0,,,0,,,,0,,,0,,
GALERIES LAFAYETTE CHAMPS ELYSEES,,,,,,,GALERIES LAFAYETTE,,,200 à 249 salariés,Grands magasins,Grands magasins,Autre commerce de détail en magasin non spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,False,Grands magasins,Autre commerce de détail en magasin non spécialisé,Commerce de détail en magasin non spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,,52,,AV,DES CHAMPS ELYSEES,75008,PARIS 8,,75108,0,,,0,,,,0,,,0,,
PETIT FORESTIER OFFICE,,,,,,,,,,200 à 249 salariés,Conseil pour les affaires et autres conseils de gestion,Conseil pour les affaires et autres conseils de gestion,Conseil pour les affaires et autres conseils de gestion,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",True,Conseil pour les affaires et autres conseils de gestion,Conseil pour les affaires et autres conseils de gestion,Conseil de gestion,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",,11,,RTE,DE TREMBLAY,93420,VILLEPINTE,,93078,0,,,0,,,,0,,,0,,
LAGARDERE MEDIA NEWS,,,,,LAGARDERE NEWS,,,,,200 à 249 salariés,Édition de revues et périodiques,Édition de revues et périodiques,Édition de revues et périodiques,Édition,Information et communication,True,Édition de revues et périodiques,Édition de revues et périodiques,Édition de livres et périodiques et autres activités d'édition,Édition,Information et communication,,2,,RUE,DES CEVENNES,75015,PARIS 15,,75115,0,,,0,,,,0,,,0,,
ASSOCIATION DE MOYENS ASSURANCE DE PERSONNES,,,,,,,,,,200 à 249 salariés,Autres activités auxiliaires d'assurance et de caisses de retraite,Autres activités auxiliaires d'assurance et de caisses de retraite,Autres activités auxiliaires d'assurance et de caisses de retraite,Activités auxiliaires de services financiers et d'assurance,Activités financières et d'assurance,False,Autres activités auxiliaires d'assurance et de caisses de retraite,Autres activités auxiliaires d'assurance et de caisses de retraite,Activités auxiliaires d'assurance et de caisses de retraite,Activités auxiliaires de services financiers et d'assurance,Activités financières et d'assurance,,21,,RUE,ROGER SALENGRO,94120,FONTENAY-SOUS-BOIS,,94033,0,,,0,,,,0,,,0,,
UMANIS,,,,,,,,,,200 à 249 salariés,Restauration traditionnelle,Restauration traditionnelle,Restaurants et services de restauration mobile,Restauration,Hébergement et restauration,False,Restauration traditionnelle,Restaurants et services de restauration mobile,Restaurants et services de restauration mobile,Restauration,Hébergement et restauration,UMANIS TOUR EIFFEL,6,,AV,GUSTAVE EIFFEL,75007,PARIS 7,,75107,0,,,0,,,,0,,,0,,
BARCLAYS BANK IRELAND PLC,,,,,BARCLAYS BANK IRELAND PLC  FRANCE BRANCH  BARCLAYS EUROPE,,,,,200 à 249 salariés,Services administratifs combinés de bureau,Services administratifs combinés de bureau,Services administratifs combinés de bureau,Activités administratives et autres activités de soutien aux entreprises,Activités de services administratifs et de soutien,False,Autres intermédiations monétaires,Autres intermédiations monétaires,Intermédiation monétaire,"Activités des services financiers, hors assurance et caisses de retraite",Activités financières et d'assurance,34-36,34,,AV,DE FRIEDLAND,75008,PARIS 8,,75108,0,,,0,,,,0,,,0,,
