denominationUniteLegale,sigleUniteLegale,denominationUsuelle1UniteLegale,denominationUsuelle2UniteLegale,denominationUsuelle3UniteLegale,denominationUsuelleEtablissement,sigleUniteLegale2,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,trancheEffectifsEtablissement,activitePrincipaleUniteLegale sous-classe,activitePrincipaleUniteLegale classe,activitePrincipaleUniteLegale groupe,activitePrincipaleUniteLegale division,activitePrincipaleUniteLegale section,etablissementSiege,activitePrincipaleEtablissement sous-classe,activitePrincipaleEtablissement classe ,activitePrincipaleEtablissement groupe ,activitePrincipaleEtablissement division,activitePrincipaleEtablissement section,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement
ACCENTURE POST-TRADE PROCESSING SAS,,,,,,,,,,50 à 99 salariés,Conseil en systèmes et logiciels informatiques,Conseil en systèmes et logiciels informatiques,Conseil informatique,"Programmation, conseil et autres activités informatiques",Information et communication,True,Conseil en systèmes et logiciels informatiques,Conseil informatique,"Programmation, conseil et autres activités informatiques","Programmation, conseil et autres activités informatiques",Information et communication,Nov-13,11,,CRS,VALMY,92800,PUTEAUX,,92062,0,,,0,,,,0,,,0,,
CARBON IT,,,,,,,,,,50 à 99 salariés,Conseil en systèmes et logiciels informatiques,Conseil en systèmes et logiciels informatiques,Conseil informatique,"Programmation, conseil et autres activités informatiques",Information et communication,True,Conseil en systèmes et logiciels informatiques,Conseil informatique,"Programmation, conseil et autres activités informatiques","Programmation, conseil et autres activités informatiques",Information et communication,,131,,AV,CHARLES DE GAULLE,92200,NEUILLY-SUR-SEINE,,92051,0,,,0,,,,0,,,0,,
RAVESS FRANCE,,,,,,,,,,50 à 99 salariés,"Organisation de foires, salons professionnels et congrès","Organisation de foires, salons professionnels et congrès",Organisation de salons professionnels et congrès,Activités administratives et autres activités de soutien aux entreprises,Activités de services administratifs et de soutien,True,"Organisation de foires, salons professionnels et congrès",Organisation de salons professionnels et congrès,Organisation de salons professionnels et congrès,Activités administratives et autres activités de soutien aux entreprises,Activités de services administratifs et de soutien,,57,,RUE,D'AMSTERDAM,75008,PARIS 8,,75108,0,,,0,,,,0,,,0,,
ASHPA,,,,,ASHPA,,SOLEMNES,,,50 à 99 salariés,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,False,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,39-43,39,,AV,MARCEAU,92400,COURBEVOIE,,92026,0,,,0,,,,0,,,0,,
TARADIS,,,,,,,,,,50 à 99 salariés,Supermarchés,Supermarchés,Commerce de détail en magasin non spécialisé à prédominance alimentaire,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,True,Supermarchés,Commerce de détail en magasin non spécialisé à prédominance alimentaire,Commerce de détail en magasin non spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,RD 48,0,,RTE,DE CONFLANS,95220,HERBLAY-SUR-SEINE,,95306,0,,,0,,,,0,,,0,,
ID TRANSPORT,,,,,,,,,,50 à 99 salariés,Transports routiers de fret interurbains,Transports routiers de fret interurbains,Transports routiers de fret,Transports terrestres et transport par conduites,Transports et entreposage,True,Transports routiers de fret interurbains,Transports routiers de fret,Transports routiers de fret et services de déménagement,Transports terrestres et transport par conduites,Transports et entreposage,ZAE DES GLAISES,1,,RUE,AMBROISE CROIZAT,91120,PALAISEAU,,91477,0,,,0,,,,0,,,0,,
SOLBAT,,,,,,,,,,50 à 99 salariés,Travaux d'installation électrique dans tous locaux,Travaux d'installation électrique dans tous locaux,Installation électrique,Travaux de construction spécialisés,Construction,True,Travaux d'installation électrique dans tous locaux,Installation électrique,"Travaux d'installation électrique, plomberie et autres travaux d'installation",Travaux de construction spécialisés,Construction,,24,,RUE,CONDORCET,94430,CHENNEVIERES-SUR-MARNE,,94019,0,,,0,,,,0,,,0,,
ADENTAL GROUPE,,,,,,,,,,50 à 99 salariés,Conseil pour les affaires et autres conseils de gestion,Conseil pour les affaires et autres conseils de gestion,Conseil pour les affaires et autres conseils de gestion,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",True,Conseil pour les affaires et autres conseils de gestion,Conseil pour les affaires et autres conseils de gestion,Conseil de gestion,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",,23,B,RUE,DANJOU,92100,BOULOGNE-BILLANCOURT,,92012,0,,,0,,,,0,,,0,,
ARKOSE&CO,,,,,,,,,,50 à 99 salariés,Gestion d'installations sportives,Gestion d'installations sportives,Gestion d'installations sportives,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",True,Gestion d'installations sportives,Gestion d'installations sportives,Activités liées au sport,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",37-39,37,,RUE,DES GRANDS CHAMPS,75020,PARIS 20,,75120,0,,,0,,,,0,,,0,,
LE GARDE SECURITE PRIVEE,,,,,,,,,,50 à 99 salariés,Activités de sécurité privée,Activités de sécurité privée,Activités de sécurité privée,Enquêtes et sécurité,Activités de services administratifs et de soutien,True,Activités de sécurité privée,Activités de sécurité privée,Activités de sécurité privée,Enquêtes et sécurité,Activités de services administratifs et de soutien,,5,,RUE,DE ROME,93110,ROSNY-SOUS-BOIS,,93064,0,,,0,,,,0,,,0,,
