denominationUniteLegale,sigleUniteLegale,denominationUsuelle1UniteLegale,denominationUsuelle2UniteLegale,denominationUsuelle3UniteLegale,denominationUsuelleEtablissement,sigleUniteLegale2,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,trancheEffectifsEtablissement,activitePrincipaleUniteLegale sous-classe,activitePrincipaleUniteLegale classe,activitePrincipaleUniteLegale groupe,activitePrincipaleUniteLegale division,activitePrincipaleUniteLegale section,etablissementSiege,activitePrincipaleEtablissement sous-classe,activitePrincipaleEtablissement classe ,activitePrincipaleEtablissement groupe ,activitePrincipaleEtablissement division,activitePrincipaleEtablissement section,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement
TELEVISION FRANCAISE 1,TF1,,,,,TF1,,,,1000 à 999 salariés,Édition de chaînes généralistes,Édition de chaînes généralistes,Programmation de télévision et télédiffusion,Programmation et diffusion,Information et communication,True,Édition de chaînes généralistes,Programmation de télévision et télédiffusion,Programmation de télévision et télédiffusion,Programmation et diffusion,Information et communication,,1,,QUAI,DU POINT DU JOUR,92100,BOULOGNE-BILLANCOURT,,92012,92656,BOULOGNE BILLANCOURT CEDEX,,0,,,,0,,,0,,
MICROSOFT FRANCE,,,,,,,,,,1000 à 999 salariés,Conseil en systèmes et logiciels informatiques,Conseil en systèmes et logiciels informatiques,Conseil informatique,"Programmation, conseil et autres activités informatiques",Information et communication,True,Conseil en systèmes et logiciels informatiques,Conseil informatique,"Programmation, conseil et autres activités informatiques","Programmation, conseil et autres activités informatiques",Information et communication,37/45,37,,QUAI,DU PRESIDENT ROOSEVELT,92130,ISSY-LES-MOULINEAUX,,92040,0,,,0,,,,0,,,0,,
SNGST,,,,,OCTOPUS SECURITE,,,,,1000 à 999 salariés,Activités de sécurité privée,Activités de sécurité privée,Activités de sécurité privée,Enquêtes et sécurité,Activités de services administratifs et de soutien,False,Activités de sécurité privée,Activités de sécurité privée,Activités de sécurité privée,Enquêtes et sécurité,Activités de services administratifs et de soutien,BAT 4,1,,AV,CHRISTIAN DOPPLER,77700,SERRIS,,77449,0,,,0,,,,0,,,0,,
MGS SALES & MARKETING,,,,,,,,,,1000 à 999 salariés,Activités des agences de publicité,Activités des agences de publicité,Activités des agences de publicité,Publicité et études de marché,"Activités spécialisées, scientifiques et techniques",True,Activités des agences de publicité,Activités des agences de publicité,Publicité,Publicité et études de marché,"Activités spécialisées, scientifiques et techniques",,1,,PL,DES MARSEILLAIS,94220,CHARENTON-LE-PONT,,94018,0,,,0,,,,0,,,0,,
PRICEWATERHOUSECOOPERS ADVISORY,,,,,,,,,,1000 à 999 salariés,Conseil pour les affaires et autres conseils de gestion,Conseil pour les affaires et autres conseils de gestion,Conseil pour les affaires et autres conseils de gestion,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",True,Conseil pour les affaires et autres conseils de gestion,Conseil pour les affaires et autres conseils de gestion,Conseil de gestion,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",,63,,RUE,DE VILLIERS,92200,NEUILLY-SUR-SEINE,,92051,0,,,0,,,,0,,,0,,
METROPOLE TELEVISION,M6,,,,,M6,,,,1000 à 999 salariés,Édition de chaînes généralistes,Édition de chaînes généralistes,Programmation de télévision et télédiffusion,Programmation et diffusion,Information et communication,True,Édition de chaînes généralistes,Programmation de télévision et télédiffusion,Programmation de télévision et télédiffusion,Programmation et diffusion,Information et communication,,89,,AV,CHARLES DE GAULLE,92200,NEUILLY-SUR-SEINE,,92051,0,,,0,,,,0,,,0,,
CONTINENTALE PROTECTIONS SERVICES,CPS,,,,,CPS,,,,1000 à 999 salariés,Activités de sécurité privée,Activités de sécurité privée,Activités de sécurité privée,Enquêtes et sécurité,Activités de services administratifs et de soutien,True,Activités de sécurité privée,Activités de sécurité privée,Activités de sécurité privée,Enquêtes et sécurité,Activités de services administratifs et de soutien,,9,,RUE,DU GENERAL LECLERC,95310,SAINT OUEN L'AUMONE,,95572,0,,,0,,,,0,,,0,,
GROUPAMA GAN VIE,,,,,,,,,,1000 à 999 salariés,Assurance vie,Assurance vie,Assurance vie,Assurance,Activités financières et d'assurance,False,Assurance vie,Assurance vie,Assurance,Assurance,Activités financières et d'assurance,,0,,PL,MARCEL PAUL,92000,NANTERRE,,92050,0,,,0,,,,0,,,0,,
CHALLANCIN PREVENTION ET SECURITE,,,,,,,,,,1000 à 999 salariés,Activités de sécurité privée,Activités de sécurité privée,Activités de sécurité privée,Enquêtes et sécurité,Activités de services administratifs et de soutien,True,Activités de sécurité privée,Activités de sécurité privée,Activités de sécurité privée,Enquêtes et sécurité,Activités de services administratifs et de soutien,09-Nov,9,,AV,MICHELET,93400,SAINT-OUEN-SUR-SEINE,,93070,0,,,0,,,,0,,,0,,
CNP ASSURANCES,,,,,,,,,,1000 à 999 salariés,Assurance vie,Assurance vie,Assurance vie,Assurance,Activités financières et d'assurance,False,Assurance vie,Assurance vie,Assurance,Assurance,Activités financières et d'assurance,,4,,PL,RAOUL DAUTRY,75015,PARIS 15,,75115,75716,PARIS CEDEX 15,,0,,,,0,,,0,,
