AdresseEtablissementPrive,NomEtablissementPrive
19 RUE VICTOR HUGO 92130 ISSY-LES-MOULINEAUX,"['College La Salle - Saint-Nicolas', 'Lycee polyvalent La Salle - Saint-Nicolas (Lycee des metiers)', 'College La Salle Saint-Nicolas', 'Lycee Professionnel La Salle Saint Nicolas', 'Lycee Polyvalent La Salle Saint-Nicolas', 'Internat College, Lycees La Salle - Saint Nicolas / Residence etudiante', 'LPO La Salle Saint-Nicolas']"
19 RUE DE L'ALUN 91150 ETAMPES,"[""Ecole 2D degre General privee A L'Ere Libre"", ""Ecole de niveau elementaire A l'Ere Libre"", ""Ecole secondaire privee a l'ere libre"", ""Ecole a L'Ere Libre""]"
19 RUE DES ECOLES 92210 SAINT-CLOUD,"['Ecole primaire privee Saint Pie X', 'Ecole 2D degre general privee Saint Pie X', 'Ecole Primaire Privee Saint-Pie-X']"
190 BIS BOULEVARD DE CHARONNE 75020 PARIS 20,"['Institut des techniques informatiques et commerciales', 'ITIC PARIS Institut des Techniques Informatiques et Commerciales']"
2 BOULEVARD SOULT 75012 PARIS 12,"['College prive Cours Moliere', 'E.P.PR COURS MOLIERE 2 boulevard Soult', 'Cours Moliere - International School']"
2 PLACE ROUFFY 91210 DRAVEIL,"['Ecole primaire privee Notre-Dame', 'College Notre-Dame', 'Ecole Privee Notre-Dame de Draveil']"
2 PLACE DE L'EGLISE 78700 CONFLANS-SAINTE-HONORINE,"['Ecole elementaire privee Saint Joseph', 'Etablissement Prive Saint-Joseph']"
2 RUE CLAUDE DEBUSSY 93290 TREMBLAY-EN-FRANCE,"['Ecole primaire privee Saint Pie X', 'Ecole Privee Saint-Pie X']"
2 RUE MERCIERE 94470 BOISSY-SAINT-LEGER,"['Lycee general prive Bernard Palissy', 'College prive Bernard Palissy', 'Lycee Prive Bernard-Palissy']"
2 RUE DE CHARTRES 91400 ORSAY,"['Ecole maternelle privee English Tree', 'Ecole English Tree']"
2 RUE DE L'ABBAYE 92160 ANTONY,"['Lycee Sainte-Marie', ""Institution Sainte-Marie d'Antony"", ""Institution Sainte-Marie d'Antony, College""]"
2 RUE DE L'ECOLE DES POSTES 78000 VERSAILLES,"['Lycee Sainte-Genevieve', 'Lycee Prive Sainte-Genevieve']"
2 RUE DES PATIS 95520 OSNY,"['Lycee professionnel de la communication et industries graphiques Notre famille', 'College Saint-Stanislas', 'Lycee Professionnel de la Communication et des Industries Graphiques']"
2 RUE DU GAIZON 91620 LA VILLE-DU-BOIS,"['Ecole primaire privee Notre-Dame', 'Lycee du Sacre-Coeur', ""College Emmanuel d'Alzon - Institution du Sacre-Coeur"", 'Lycee Prive Jean-Paul II - Institution du Sacre-Coeur', 'Ecole Notre-Dame - Institution du Sacre-Coeur']"
2 VOIE FELIX EBOUE 94000 CRETEIL,"['College Ozar Hatorah Garcons', 'Lycee Ozar Hatorah Garcons', 'College Ozar Hatorah Garcons', 'Lycee Ozar Hatorah Garcons']"
20 QUAI PIERRE BRUNEL 78500 SARTROUVILLE,"['Lycee Jean-Paul II', ""Lycee d'Enseignement General, Technologique et Professionnel Jean-Paul II""]"
20 RUE DE DOMREMY 75013 PARIS 13,"['E.P.PR EC. LA SALLE - ND DE LA GARE 20 rue de Domremy', ""Ecole Privee Catholique La Salle Notre-Dame de la Gare Sainte Jeanne D'Arc"", ""College Prive Catholique La Salle Notre-Dame de la Gare Sainte Jeanne D'Arc""]"
20 RUE DE LA LIBERTE 95100 ARGENTEUIL,"['Lycee Cognacq-Jay', 'Lycee des Metiers Cognacq-Jay Argenteuil']"
20 RUE DU DOCTEUR SUREAU 93160 NOISY-LE-GRAND,"['Ecole primaire privee Francoise Cabrini', 'College Francoise Cabrini', 'College Prive Francoise Cabrini', 'Lycee General et Technologique Francoise Cabrini', 'Ecole Privee Francoise Cabrini', 'Lycee Professionnel Francoise Cabrini']"
205 RUE DE FONTENAY 94300 VINCENNES,"['Lycee Gregor Mendel', 'Lycee professionnel Gregor Mendel', 'Lycee Prive Gregor Mendel', 'Lycee General et Technologique Gregor Mendel', 'Lycee Professionnel Gregor Mendel']"
